スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"美容重課金女の私がこの10年1番お金をかけてきたのがスキンケア類。だからこそ本当にオススメできるものしか載せんし、バズとかインフルエンサーが使ってるとか正直どうでもいい。成分、効果、それが正義、そしてやっぱりコスパも超大事。10年後の肌を決めるのは今の自分だからスキンケアこそ最大限投資してあげてほしい。

一緒に自分史上最高のビジュになろう！
@reika_biyou
 フォローしてね🫶🏻
フォロワさんには有益情報を毎日お届け中です🌷












",1,43,"44,000",2025/4/8 23:03:45,https://www.threads.com/@reika_biyou/post/DIMDF2QpNU3,
,"(ヾﾉ･ω･`)ｲﾔｲﾔ、美容医療受けるほどお金ないし、ドクターズコスメとか無縁だわ〜って子、とりまキールズ使っとけば間違いない。美容医療レベルの仕上がりってまじで言われてるし、費用対効果最強だから。先週も美容Drに「肌綺麗すぎて施すことない😅」って言われた私の推しメン並べとくわ。

何度も言うけどレチノールが神すぎて一生使い続ける覚悟すらできてる。皮脂ドバ、ニキビ、黒ずみ毛穴、シミそばかすまでオールカバーしてくれる最強アイテム。とりあえずキールズデビューはレチノールでどう？
▫️Rakuten PR キールズ公式
a.r10.to/hkTMC…
【楽天市場】キールズ レチノール 美容液 スターターセット 50ml 公式 kiehl's kiehls ギフト 毛穴 しわ たるみ ハリ 保湿 角質 低刺激 クリーム スキンケア セラミド 肌荒れ ニキビ ナイアシ

夏に絶対欠かせない美白美容液も大好きで使用頻度高め。白くなりたい、透明感爆アゲしたい、日焼けをシミにしたくない人はこれ使っとけば間違いない。
▫️Rakuten PR キールズ公式
a.r10.to/hNalc…
【楽天市場】キールズ 透明 美白 美容液 50ml DS クリアリーブライト エッセンス セット kiehl's kiehls ビタミン 潤い 乾燥 シミ くすみ ビタミンC プレゼント しみ 毛穴 エイジング 毛穴 ハリ

DMでもよく聞かれるクレイマスクはキールズ使ってます(初公開)全ての毛穴に効果てきめん、小鼻の黒ずみまでさよならバイバイできる費用対効果バツグンのマスクなのよ。しかもくすみ飛ぶからワントーン明るい肌になれるところがまた大好き。
▫️Rakuten PR キールズ公式
a.r10.to/h5F37…
【楽天市場】公式 キールズ レアアース マスク フェイスマスク 125mL kiehl's kiehls 保湿 スキンケア パック 毛穴 コスメ クレイ クレイパック 泥パック 泥 角質 黒ずみ 角栓 保湿 送料無料 ギ

結局このクリームも大好きなんだよなぁ〜〜〜〜〜
保湿と肌荒れ防止どっちも叶えたい人はこれハマっちゃうと思う。ベタつかないのに潤うし、メイクノリも良くしてくれるから朝メイク前も使える！あとね、伸びが良くてコスパがいい。友達によくプレゼントして喜ばれるのもよき。
▫️Rakuten PR キールズ公式
a.r10.to/h8Gp3…
【楽天市場】キールズ クリーム UFC 50mL セット美容液 スキンケア フェイスクリーム 乾燥 しっとり 肌荒れ うるおい 潤い 顔 ギフト 誕生日 べたつかない 乳液 kiehl's kiehls プレゼント ラッ





",5,192,"45,000",2025/6/1 20:19:47,https://www.threads.com/@reika_biyou/post/DKWzQNlp6wq,
,"ドケチ美容ナースが選ぶプチプラ神美容液まとめときました！！！皮膚科ドクターから「肌キレイすぎ何使ってんの」って言われちゃう私(リアルがち)が心を込めて解説していきます！！！しかも肌質別に書いちゃうよん！美容迷子は必ずチェックね！⤵︎ ︎

①レチノールはアヌア一択！！！！毛穴、皮脂ドバに悩んでる人は絶対これ！！！とにかくこれ使い始めてから毛穴が目立たなくなったしキメが整うようになった！ゆるめのテクスチャーで全顔にも伸ばしやすいし、ナイアシンアミド5%も配合されてて守りまでできるとか値段以上の働きすぎて感動🥹タマゴ肌に１歩近づける美容液だよ！！これからもお世話になります🫶🏻
▫️Rakuten pr アヌア公式
a.r10.to/hNk0Y…
【楽天市場】【ANUA公式】【レチノール0.3ナイアシンリニューイングセラム 30ml】美容液 セラム ビタミン レチノール ナイアシンアミド くすみトラブルケア ハリ キメ ニキビ 韓国コスメ

②最近大好きPDRN！！！美容液に美白と保湿を求める人はこれ使ってほしい！！！塗ったその日から肌モチモチになるしトーンアップってくらい肌トーン上がるよ！色素沈着を薄くする効果もあるのでシミに悩んでる人も！
▫️Rakuten pr メディキューブ公式
a.r10.to/hN9fd…
【楽天市場】【medicube公式】PDRN ピンクアンプル 30ml（ メディキューブ medicube 韓国コスメ トラブル跡 サーモン トラブル ハリ トーニング 痕跡 メラニンケア コラーゲン 赤み 水光 保湿

③ PDRN、ヒアルロン酸、コラーゲンの豪華成分配合でこの値段はさすがアヌア。乾燥していてツヤがない、肌の水分感が欲しい、水光肌を目指したいという人は絶対気にいると思う！！！夏もエアコン乾燥気になるから絶対持っておきたい！！
▫️Rakuten pr アヌア公式
a.r10.to/hkE9d…
【楽天市場】『最大27％OFF＋シートマスクギフト付き』』【ANUA公式】【 PDRNヒアルロン酸カプセル100 セラム（2種）】韓国コスメ PDRN ヒアルロン酸 コラーゲン 美容液 セラム 弾力 保湿 水

④ビタミンC美容液はダーマレーザー使っとけば十分！！！コスパ良くキメを整えたい、毛穴を引き締めたい人は朝から使って〜！！！刺激感は苦手という方にも使えるビタミンC美容液です！！！🙌🏻
▫️Rakuten pr ダーマレーザー公式
a.r10.to/hNKm8…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛

⑤導入美容液はセンテラがダントツ！！！私もバズってから使い始めたんだけどめちゃくちゃ良かった！赤み改善、肌荒れ予防、鎮静効果全部感じられたし、それ以降のスキンケアを何も邪魔しないところがまっじでありがたい。ゆらぎがちな季節もこれがあれば安心！！！
▫️Rakuten pr センテラ公式
a.r10.to/hNRyR…
【楽天市場】＼今だけ！12％OFF＋10％OFFクーポン配布中／【センテラ アンプル マダガスカル産CICA ベース美容液】 センテラアンプル マダガスカル産CICA 韓国 ベース美容液 敏感肌用 保湿

⑥透明感とハリが欲しい人へ。プチプラ界隈の美白美容液は多分これが一番最強！！！夏はこればっかり使っちゃうので置いときます。紫外線ケア、色素沈着改善、くすみケア1本でできるところが大好き。透明感にグルタチオンは欠かせません！！！
▫️Rakuten pr
a.r10.to/hkSIi…
【楽天市場】グルタチオン 10,000ppm~55,000ppm 純度100% 高濃度美容液 日本製 ビタミンC誘導体 白玉点滴 コスメドン SHIRATAMA GLUTA C シラタマグルタシー 30mL 毛穴 くすみ 凸凹 こすめどん：BiSket

⑦今大注目のアゼライン酸。肌荒れ、ニキビ、皮脂ドバさんにとっても有効です。私はあんまり使うと乾燥しちゃうけど脂性肌さんは絶対気に入るやつ。やっぱりアヌアが安価で使いやすいです🙆‍♀️
▫️Rakuten pr アゼライン酸
a.r10.to/hPUVK…
【楽天市場】『最大20%OFF+ポイントバック30％＋シートマスクギフト付き』【Anua公式】【 アゼライン酸15インテンスカーミングセラム 30ml アゼライン酸10 マイルドスージングセラム 30ml 】",10,144,"45,000",2025/6/5 22:06:45,https://www.threads.com/@reika_biyou/post/DKhSrJPpeok,
,"断言するけど、スチーマーは1万以下でも十分効果あります。クレンジングの時、スキンケアの時、スチーム当ててやるだけで同じもの使っても肌めちゃくちゃ変わる。特に毛穴気になってる人は絶対使った方がいい。言っとくけどエステにお金溶かすより、こっちの方が断然コスパとタイパいいからね？

私はこれ使ってるやつ。スチーマーはこれで十分。他のところにお金回しな。
▫️rakuten pr ナノア公式
a.r10.to/hkrPh…
【楽天市場】フェイススチーマー (ナノア)NANOA 皮膚科医が大注目の 濃密ナノミスト 温冷 スチーマー 美容 保湿 水道水OK たっぷりタンク 毛穴ケア 美容家電：ひらがな楽天市場店

























",7,101,"45,000",2025/5/17 19:41:30,https://www.threads.com/@reika_biyou/post/DJwG8ohpTtD,
,"「全部揃えたいけどお金がなくて…1本だけ買うならどれがいいですか？」ってDMきてた！！わかるわかる…私も普段ドケチ女なので気持ち痛いほどわかる。スキンケアって地味に高いし全部揃えるの無理ゲー。でも、1本だけならレチノールって答える。赤み・毛穴・くすみ・乾燥・ごわつき、何にでも効く。肌っていきなり全部変わらんけど、レチだけは未来の肌に積み上がってく感がある。私はここだけは一生課金する。商品たくさんあって迷うと思うので肌タイプ別のおすすめレチノールまとめておくね⤵︎ ︎

全肌質に推せる安定型 → キールズ（¥13,970）
安定型レチノール・ナイアシンアミド・セラミドで“攻めながら守る”。テクスチャも伸びよくて、毎日使いやすい。悩んだらこれ選んどけば間違いない万能レチ。値段は高いけど飲み会＋カラオケパスしたと思えばチャラも同然。
▫️ rakuten pr キールズ公式
a.r10.to/hNaT4…
【楽天市場】エントリーでポイント最大6倍◆ 公式 キールズ レチノール 美容液 50ml kiehl's kiehls 送料無料 ギフト 毛穴 しわ たるみ ハリ 保湿 角質 低刺激 クリーム スキンケア セラミド

乾燥肌・敏感肌向け → ドクターケイ（¥8,250）
A反応出にくくて保湿力もしっかり。とろっとしたテクスチャで、刺激少なく肌を整えてくれる。敏感肌でも安心して使える処方。なのに翌朝むき卵みたいなツルツル肌になれるのがまじで天才。
▫️rakuten pr ドクターケイ公式
a.r10.to/hgEAf…
【楽天市場】【ポイント10倍｜4/20(日)23:59まで】公式 ドクターケイ レチノール美容液 ABC-Gリペアセラム25mL ビタミンC 誘導体 レチノール ナイアシンアミド スキンケア 美容 化粧品 肌ケア

オイリー肌・毛穴タイプ向け
→ アヌア ナイアシンリニューイングセラム（¥3,450）
皮脂コントロールと角質ケアでザラつき＆毛穴に効く。赤み気になる人にもおすすめ。レチビギナーでも使いやすい設計でバランス◎メンズにもおすすめ。
▫️rakuten pr アヌア公式
a.r10.to/hNn6m…
【楽天市場】【ANUA公式】【レチノール0.3ナイアシンリニューイングセラム 30ml】美容液 アンプル セラム ビタミンA レチノール 弾力 トーンアップ くすみケア シミ トラブルケア ハリ ツ

全ての金欠民に贈る
→ トゥヴェール レチノショット0.1（¥3,300）
この価格でこの成分は神。みずみずしくて使い心地もよく、コスパで選ぶならこれ一択。ただし中級者向け。
▫️rakuten pr トゥベール公式
a.r10.to/hPtqz…
【楽天市場】レチノール クリーム グラナクティブレチノイド2％　マトリキシル11％ セラミド トゥベール トゥヴェール レチノショット 0.1：ビタミンＣ誘導体のトゥヴェール



















",4,65,"45,072",2025/4/19 11:18:52,https://www.threads.com/@reika_biyou/post/DInHKwap4Mh,
,"断言するけど、ピーリングは家でも十分効果あります。チキンスキンは毛孔性角化症って言うんだけど美容医療なんか要らん、これでケアできる。ゼロ距離でも毛穴全くない先輩が「ランコムのピーリング使ってるよ」って言っててまじで納得。言っとくけど、美容医療通うくらいなら断然こっちの方がコスパとダイパいいからね。

成分とか濃度みたけど美容皮膚科のピーリングと大して変わらん。美容ナースのくせして、クリニックの施術たっけーもったいねーと心で思うタイプなので絶対おうちピーリング派。まあ少々値段はするが、何度もクリニック通うと数十万…😇
▫️rakuten pr ランコム
a.r10.to/h5aWd…
【楽天市場】【公式】クラリフィック ブライトニング セラム / 30ml / 美容液 / 医薬部外品 / ランコム lancome 正規品 美白 美白美容液 シミ しみ くすみ 保湿 PHA ナイアシンアミド ピーリン
























",1,132,"46,660",2025/5/9 21:51:47,https://www.threads.com/@reika_biyou/post/DJbvf52p5p_,
,"断言するけど美容皮膚科で札束溶かさなくても、ホームケアだけで施術いらんくらい綺麗な肌は作れる。しかもコスパとタイパ良すぎてやらない理由ない。だから私もホームケア重課金。まずは朝ビタミンC・夜レチノール・ナイアシンアミド・角質ケア・保湿、この5本柱だけ意識して。流行りに振り回されず基本を積み重ねた人が結局1番肌綺麗。40代になっても土台さえ整ってたら勝ち。いまからでも全然間に合うから、未来の自分のために地味な積み上げしていこ。

ノーファンデでも褒められるツルツル卵肌になりたい人は▶︎ 
@reika_biyou
 をフォローしといてね🫶🏻
愛用品は固定投稿にまとめてます！🕊️













",1,176,"47,141",2025/4/28 14:29:19,https://www.threads.com/@reika_biyou/post/DI-oHluJsqh,
,"美容オタク15年目の私がスキンケアやコスメを選ぶ時に求めていることは、高コスパ高クオリティであること。たまにデパコスはドラストに置き換えられるっていう人がいるけど、本当に物によるし、唯一無二でこれは凄いっていう名品がデパコスにあるのも事実。フォロワさんには美容貧乏になってほしくないから、クリニックで同僚達にも勧められるようないい物しかここでは載っけない。だから安心して投稿見てほしいな。

一緒に自分史上最高のビジュになろう！
@reika_biyou
 フォローしてね🫶🏻
フォロワさんには有益情報を毎日お届け中です🌷
DMやコメントでコスメスキンケアなどの相談も受け付けてます！













",1,51,"48,000",2025/4/5 11:40:39,https://www.threads.com/@reika_biyou/post/DIDGiIFJ2Ad,
,"飲み会リップで群を抜いて落ちない荒れないのがRMKだと思ってる。元リプモン愛好会の私だけど、色味落ちにくさ荒れにくさ全部こっちが勝つ。色展開もめちゃくちゃ可愛いし、むっちりツヤんって唇になれるのがリプモンにはない流石デパコスの仕上がりって思うとこ。当方美容ナースでマスク仕事なのに全種類持ち合わせてます。それくらい好き。

楽天でも買えるよ💄✨
私はイエベなんだけど03.05.07がお気に入り♡
a.r10.to/hNnft… pr
【楽天市場】rmk アールエムケー デューイーメルト リップカラー 3.6g／口紅（レフィル）正規品 ナチュラルメイク リップ つけ心地軽い リップ：燦 Studio



























",1,321,"51,000",2025/5/16 14:00:47,https://www.threads.com/@reika_biyou/post/DJs7KWggpdA,
,"アラフィフの皆さま、若見えさせたいなら絶対レチノール入りのアイクリーム使ってください。これだけでもかなり目元若見えします。美容皮膚科でも「目元のシワどうにかしたい」って相談に来る方めちゃくちゃ多いけど、目元のエイジングは後からじゃ正直遅いです。実際、40代・50代で目元がふっくらして若々しい人は、例外なく早いうちからケアしてます。逆に放置してた人はたるみが目立つのが現実。アイクリームって若作りのためじゃない。「これ以上老けないため」の防御策です。今日が一番若い。後悔しないために、今日から攻めていきましょ！！私がガチでおすすめするアイクリーム、ツリーにまとめたので気になる人だけどうぞ。

間違いなく1番おすすめできて、レチノール入りかつシワ改善が見込めるアイクリームはエリクシール。国内で唯一、資生堂のアイクリームは成分と効果が国に認められてるので安心して使えます、難点は少しお値段するところ。でも将来美容医療に頼って札束溶かすくらいなら全然マシ。
▫️rakuten pr. エリクシールアイクリーム
a.r10.to/h5arm…
【楽天市場】＼最終日!10%OFF+P10倍確定／【資生堂認定ショップ】エリクシール シュペリエル レチノパワー リンクルクリーム L 22g：コスメティック　やよい

いやいやそんなにお金出せませんよって方向けにアヌアからもレチ入りアイクリーム出てます！！アヌアのレチ(全顔用)は私も大好きでよく使ってるので効果に関しては期待値高め。値段もエリクシールの半分！まずはここから始めてみてもいいかも。
a.r10.to/hRb24…
【楽天市場】＼楽天ランキング1位／【ANUA公式】【レチノール0.1カフェインリバイタライジングアイクリーム 30ml】アイクリーム 目元ケア 小じわ コラーゲン レチノール ビタミンA 弾力










",2,166,"56,805",2025/4/27 22:12:04,https://www.threads.com/@reika_biyou/post/DI84R76pjpi,
,"美容重課金女の私が10年でいちばんお金かけてきたのはスキンケア。だからこそ言えるけど、本気でいいと思ったものしか載せないし、バズってるとかインフルエンサーが使ってるとか、正直どうでもいい。成分。効果。コスパ。それがすべて。スキンケアは流行りじゃなくて積み重ね。10年後の肌を作るのは、今どれだけ肌に投資できたかで決まると思ってる。だから“効くもの”にしかお金かけないし、それを見つけたら全力でシェアしていくね。これからも肌に本気出したい人の参考になるアカウントでありたいと思ってるので、引き続きよろしくお願いします。

ツルツル美肌になりたい人は
@reika_biyou
 をフォローしといてね🫶🏻
愛用品はプロフにまとめてますよ〜🕊️














",1,86,"66,558",2025/4/21 22:05:30,https://www.threads.com/@reika_biyou/post/DItawmtpypA,
,"美容液迷子に告ぐ。予算3,000円で毛穴もくすみも消したいならこれ一択。最近米すら高いので美容液はこれ使って垢抜け一直線。

美容液迷子だった私が「これでいいじゃん、てかこれがいいじゃん」ってなったのがウルセラC、浸透型ビタミンC×ナイアシンアミド25％っていう攻めの処方で毛穴・くすみ・肌荒れ全部まるっと面倒見てくれるし、正直この内容で3,000円台はプチプラの暴力、肌がなんか冴えないって人ほど騙されたと思って1本使ってほしい、ガチで鏡見るの楽しくなってくるから！！！フォロワーさんからも使ってよかっためっちゃ来る🫶🏻
▫️rakuten pr ダーマレーザー公式
a.r10.to/hNqgz…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛


























",4,53,"68,862",2025/4/30 12:58:57,https://www.threads.com/@reika_biyou/post/DJDnXdwJ9tX,
,"ねえこれ、私も昔まっっったく同じことで悩んでたんだけど、こんなDMもらったので解決しないわけにはいかないよね？？？？「何使えばいいかわからないので、おすすめ全部買います！」って言ってくれたのでガチでおすすめしたい朝夜スキンケア用品一式をツリーにまとめましたっ！！！！

毛穴と皮脂に悩む全ての女子達へ。値段も載っけようと調べましたがお店によって変わる場合があるので各自でお願いします🙇‍♀️💦
【朝スキンケア】
① 洗顔：ニベア 2WAY美容洗顔
→ 泡洗顔でもパックでも使える。鼻まわりのザラつき消えたって口コミ多い神コスパ洗顔。
② 化粧水：トゥヴェール GG化粧水
→ ビタミンC誘導体入り。皮脂コントロールしながら、くすみケアまでできるやつ。朝使うと肌の調子まじで安定する。
③ 美容液は選べなかったのでお好きな方で！
美容液⑴：オバジC25セラム
→ れいか的「朝ビタC最強枠」。濃度高いけど刺激感少なめで使いやすい。毛穴・くすみ・テカリ、ぜんぶこれ1本に任せてる。
美容液⑵：アヌア アゼライン酸15
インテンスカーミングセラム
→ 皮脂分泌抑制、赤み改善、肌荒れ防止できる1本。皮脂が気になる時期はこれかな。
④ 保湿：アベンヌ ミルキージェル オイルコントロール
→ 油分控えめなのにちゃんと潤う。朝用クリームとしてガチ優秀。メイク崩れ防止にも◎
⑤ 日焼け止め：オルビス ブライトUVプロテクター
→ もろもろしない、毛穴つまらない最高。

【夜スキンケア】
① クレンジング：ワンバイコーセー ポアクリアオイル
→ 酸化皮脂と黒ずみを溶かして落とす。W洗顔不要。毛穴詰まりが溜まってきた時こそこれ。
② 洗顔：FANCL ディープクリア洗顔パウダー
→ 皮脂・角栓・黒ずみをごっそり洗浄。なのに突っ張らない。毛穴のざらつき消し去りたい人へ。
③ 化粧水：トゥヴェール GG化粧水
→ 毛穴を締めて、皮脂を整えて、肌の透明感も底上げ。万能すぎてこればっか使ってる。
(カネボウのスキンハーモナイザーも皮脂ケアレベル神だし愛してるから迷う)
④ 美容液：キールズ DS RTNリニューイングセラム（レチノール）
→ これが夜レチの正解。刺激感少なくて、毛穴・くすみ・ハリの全部にアプローチ。信頼しかない。
⑤ 保湿：トゥヴェール ナノエマルジョン（セラミド乳液）
→ ベタつかず、でも内側からちゃんと潤う。皮脂多めでも心地よく使えるから、皮脂×乾燥の混合肌民に激推し。

【スペシャルケア】
①ソフィーナipジェル
→ 週2で使ってるけど確実にこれで毛穴マシになった。角栓、黒ずみ毛穴とおさらばするには必須！！
②ルルルン ハイドラAZマスク
→ 鼻の周り、頬の赤みが気になる人ほど使ってみて欲しい。潤いあるのにベタつかない、メイク前にも使えるから常にストックしてる。

よく聞かれるんですけど、トゥベールは楽天で買えますよ〜！
▫️rakuten pr. トゥベール公式
乳液→ a.r10.to/hPCTo…
化粧水→ a.r10.to/hPCTo…
【楽天市場】乳液 セラミド 楽天ベストコスメ2023 殿堂入り 学術誌掲載 60mL トゥベール トゥヴェール ナノエマルジョン／ナノエマルジョンプラス／ナノエマルジョンディープ：ビタミン

キールズのレチノールはどんな肌質の人にもおすすめできるけど、やっぱり毛穴気になる人は絶対に使ってほしい。継続して使うことで本当に肌変わってくるよ。楽天で買ったらおまけもついてきて良き🙆‍♀️
▫️ rakuten pr. キールズ公式
a.r10.to/hNdNh…
【楽天市場】エントリーでポイント最大6倍◆ 公式 キールズ レチノール 美容液 50ml kiehl's kiehls 送料無料 ギフト 毛穴 しわ たるみ ハリ 保湿 角質 低刺激 クリーム スキンケア セラミド


アヌアのアゼライン酸美容液は使ってすぐに効果出るから今日皮脂気になるなぁって日に使うようにしてる。過剰な皮脂を抑えて毛穴を詰まりにくくしてくれるから毛穴難民には超絶に推したいアイテム。
▫️ rakuten pr. アヌア公式
a.r10.to/hPOBv…
【楽天市場】【ANUA公式】【 アゼライン酸15インテンスカーミングセラム 30ml 】アゼライン酸 美容液 アンプル セラム 美肌 トラブルケア ハリ ツヤ肌 スキンケア 化粧品 コスメ 肌 アヌア


私がハマってるパックはこれかダーマレーザーかな。どっちもストックたくさんあるから気分とか肌の調子で使い分けてる！
▫️ rakuten pr.
a.r10.to/hNw7T…
【楽天市場】【公式】パック シートマスク フェイスマスク ルルルン ハイドラ ハイドラAZ 7枚入｜保湿ローション 日本製 保湿 化粧水 フェイスマスク マスク シート マスクパック フェ",10,287,"70,000",2025/4/12 21:17:10,https://www.threads.com/@reika_biyou/post/DIWKEuApLsx,
,"何度も言うけど、美容皮膚科で札束溶かさなくても、ホームケアだけで施術いらんくらい綺麗な肌は作れる。しかもコスパとタイパ良すぎてやらない理由見つからない。当方美容ナースだけどホームケアに重課金中。朝ビタミンC・夜レチノール・ナイアシンアミド・角質ケア・保湿この5つ意識して。流行りに振り回されず基本を積み重ねた人が結局1番肌綺麗。今からでも全然間に合う。未来の自分のために地味な積み上げしていこ。

つるつるたまご肌で過去一ビジュいい肌になりたい人は
@reika_biyou
 をフォローしておいてね✊🏻
絶対後悔させません！！！













",3,292,"72,000",2025/5/27 7:52:36,https://www.threads.com/@reika_biyou/post/DKIlxPiBZso,
,"ほらね、だから言ったじゃん。まっっっじで肌変わるって。またフォロワーさんが1人、朝ビタ、夜レチのトリコになった。うれしい。

何度も言ってますけど朝ビタ、夜レチ始めないとかなんの諦めですか？？？？？？肌綺麗になりたいんでしょ？？？早く始めなよ！！！てかドクターシーラボ大好きすぎて布教しまくったせいか、周りの友達みんな使うようになったし、親戚に配ってるまである。(回し者とかじゃないです笑)
▫️rakuten pr ドクターシーラボ公式
a.r10.to/hN701…
【楽天市場】【全品10％OFFクーポン】【公式】 New VC 100 エッセンス ローション EX V 285mL [ ビタミンC 化粧水 ] 化粧品 大容量 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント

レチノールはまじで20代から初めて損しない。てか、30代、40代ならもう今すぐに始めてほしい。毛穴、ハリ、くすみ、艶まで全部これで確保。私はトゥベールかキールズ使うことが多いかな。肌にあってるみたい。レチノールは合うブランド見つかると沼だよ。
▫️rakuten pr トゥベール
a.r10.to/hg6Fs…
【楽天市場】【ポイント5倍 5月1日限定】レチノール クリーム グラナクティブレチノイド2％　マトリキシル11％ セラミド トゥベール トゥヴェール レチノショット 0.1：ビタミンＣ誘導


「いやいや2本もめんどくさい、使い分けとか無理です！！」ってズボラさんにおすすめしたいのがビタミンCとレチノールが1本になったこれ。これまっっじで毛穴目立たなくなって横転。
▫️rakuten pr ドクターシーラボ
a.r10.to/hPGBG…
【楽天市場】【全品10％OFFクーポン】【公式ドクターシーラボ(Dr.Ci:Labo)】エンリッチメディカリフトデュオセラム 26mL 約2.5ヶ月分 美容液 純粋レチノール 高浸透ビタミンC 毛穴 ハリ くす































",3,117,"76,494",2025/4/30 22:18:07,https://www.threads.com/@reika_biyou/post/DJEnW8qpcqj,
,"毛穴界隈のみなさんへ。大事なこと言います。毛穴には4つのタイプがあって原因も対策も全然違います。特に黒ずみとたるみ毛穴は相談されることが多いのでケア法まとめときました。やっても意味ないケアしてないで、これ読んでみて👇🏻

①黒ずみ毛穴(角栓増殖)→皮脂と角質が混ざりあって酸化してできる
☆対策
・クレイ系マスク、酵素洗顔、ジェルで角質分解
・ビタミンCやナイアシンアミドで皮脂コントロール
・週2〜3はオイルクレンジングでガッツリ皮脂off
黒ずみ毛穴さんが使うべきアイテムまとめ↓↓↓

クレイマスクはキールズのがごっそり毛穴掃除できて優秀。色々使ってみたけど肌負担もないし結局ここに戻ってくるのよな。
▫️Rakuten PR キールズ公式
a.r10.to/h5FPR…
【楽天市場】公式 キールズ レアアース マスク フェイスマスク 125mL kiehl's kiehls 保湿 スキンケア パック 毛穴 コスメ クレイ クレイパック 泥パック 泥 角質 黒ずみ 角栓 保湿 送料無料 ギ

ビタミンCとナイアシンアミドどっちも含まれてるスキンケアをお探しの方はダーマレーザーウルセラCMAX使っとけばOK。美容液で手軽に取り入れやすいし費用対効果バグなくらい毛穴目立たなくなるよ◎
▫️Rakuten PR ダーマレーザー公式
a.r10.to/hNSVv…
【楽天市場】ダーマレーザー 美容液 ウルセラR ウルセラC ウルセラCMAX ウルセラRNMAX スペクター 30ml レチノール ビタミンC ナイアシンアミド25%配合 高濃度 エイジングケア シミ くすみ 毛

週2.3のオイルクレンジングには絶対これ。いまだにこのオイル超えてくるものに出会えない。メイク落ち、皮脂落ち最強レベルなのに洗い上がり突っ張らない。
▫️Rakuten PR シュウウエムラ公式
a.r10.to/h5DgP…
【楽天市場】【総合ランキング1位】アルティム8∞ クレンジング オイル ベストセラーキット /クレンジングオイル メイク落とし 化粧落とし リムーバー しっとり ダブル洗顔不要 トラベ

②たるみ毛穴(年齢肌)→コラーゲン不足で肌がゆるむと毛穴が楕円形に開く
☆対策
・レチノールやビタミンCでハリケア
・真皮層のコラーゲン生成をサポートする美容液
たるみ毛穴さんが使うべきアイテムまとめ↓↓↓

何度も言ってますが、朝ビタミンCと夜レチノールだけでもかなり肌が変わります！！！嘘だと思うなら一度やってみてほしい。毎日フォロワーさんから肌変わった実感のDMもらってます🥺
▫️Rakuten PR ドクターシーラボ公式
a.r10.to/hk6GN…
【楽天市場】【公式】 New VC 100 エッセンス ローション EX V 285mL [ ビタミンC 化粧水 ] 化粧品 大容量 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキング スキン

レチノールは色々種類あるけど、攻めと守りどちらも兼ね備えたキールズをおすすめしてます。
▫️Rakuten PR キールズ公式
a.r10.to/hkT9N…
【楽天市場】キールズ レチノール 美容液 50ml 公式 kiehl's kiehls ギフト 毛穴 しわ たるみ ハリ 保湿 角質 低刺激 クリーム スキンケア セラミド 肌荒れ ニキビ ナイアシンアミド トコフェ",29,202,"77,000",2025/6/2 20:39:28,https://www.threads.com/@reika_biyou/post/DKZaTO2p5ot,
,"20代女子まじでこれだけはやっとけ

▫️医療脱毛（全身マスト、後回しにすると一生後悔）
▫️歯列矯正（清潔感の最重要ポイント）
▫️日焼け止めは365日（老化の8割は紫外線）
▫️アイクリームは首と手の甲にも（年齢まじ出る）
▫️レチノール貯金（20代のレチは将来の顔面偏差値）
▫️美容院のトリートメント（市販には限界ある）
▫️ピラティス（姿勢でオーラ変わる。断言する）
▫️診断3つ（骨格・顔タイプ・パーソナルカラー)
▫️鉄・ビタミン・たんぱく質（内側から育てろ）
▫️デパコス・スキンケアには課金（金で迷うな)

アラサーなってから一気に差が出る。後悔したくないなら今日からやろう。

ノーファンデでも褒められるツルツル卵肌になりたい人は▶︎ 
@reika_biyou
 をフォローしといてね🫶🏻
愛用品はプロフにまとめてます🕊️














",6,968,"77,229",2025/4/27 15:13:20,https://www.threads.com/@reika_biyou/post/DI8IXG5pMrV,
